timestamp,splice_id,surface_distance,acoustic_level,edge_deviation,belt_speed,carryback_level,condition
2026-09-05 08:13:57.659585,SPLICE_001,100.99,29.31,2.65,1.58,0.03,NORMAL
2026-09-05 08:13:59.659585,SPLICE_003,100.56,35.05,1.42,1.47,0.04,NORMAL
2026-09-05 08:14:01.659585,SPLICE_002,106.73,39.69,3.55,1.34,0.44,WARNING
2026-09-05 08:14:03.659585,SPLICE_005,99.14,26.29,1.3,1.39,0.16,NORMAL
2026-09-05 08:14:05.659585,SPLICE_004,100.14,22.88,1.46,1.51,0.12,NORMAL
2026-09-05 08:14:07.659585,SPLICE_001,98.8,34.74,2.29,1.47,0.09,NORMAL
2026-09-05 08:14:09.659585,SPLICE_005,99.97,24.71,2.82,1.44,0.06,NORMAL
2026-09-05 08:14:11.659585,SPLICE_005,105.56,35.97,2.22,1.54,0.18,NORMAL
2026-09-05 08:14:13.659585,SPLICE_005,99.77,28.49,0.52,1.46,0.17,NORMAL
2026-09-05 08:14:15.659585,SPLICE_004,97.31,25.6,0.87,1.51,0.16,NORMAL
2026-09-05 08:14:17.659585,SPLICE_001,103.97,59.89,9.06,1.49,0.51,WARNING
2026-09-05 08:14:19.659585,SPLICE_002,99.59,26.88,0.49,1.55,0.01,NORMAL
2026-09-05 08:14:21.659585,SPLICE_003,97.79,24.02,2.81,1.57,0.18,NORMAL
2026-09-05 08:14:23.659585,SPLICE_002,109.81,84.24,18.89,1.32,0.82,CRITICAL
2026-09-05 08:14:25.659585,SPLICE_003,99.93,37.82,0.62,1.54,0.01,NORMAL
2026-09-05 08:14:27.659585,SPLICE_004,97.16,35.21,2.9,1.5,0.05,NORMAL
2026-09-05 08:14:29.659585,SPLICE_003,102.96,27.41,1.19,1.47,0.19,NORMAL
2026-09-05 08:14:31.659585,SPLICE_001,107.5,64.27,7.51,1.43,0.27,WARNING
2026-09-05 08:14:33.659585,SPLICE_005,100.19,34.84,1.3,1.48,0.05,NORMAL
2026-09-05 08:14:35.659585,SPLICE_004,102.55,28.54,0.66,1.52,0.04,NORMAL
2026-09-05 08:14:37.659585,SPLICE_003,104.97,48.58,6.68,1.44,0.41,WARNING
2026-09-05 08:14:39.659585,SPLICE_005,103.17,66.23,6.96,1.23,0.32,WARNING
2026-09-05 08:14:41.659585,SPLICE_003,100.12,42.32,1.81,1.52,0.03,NORMAL
2026-09-05 08:14:43.659585,SPLICE_001,100.68,29.96,2.77,1.44,0.15,NORMAL
2026-09-05 08:14:45.659585,SPLICE_002,108.37,47.72,9.81,1.26,0.45,WARNING
2026-09-05 08:14:47.659585,SPLICE_001,103.36,55.62,6.01,1.49,0.27,WARNING
2026-09-05 08:14:49.659585,SPLICE_001,100.2,27.48,0.45,1.5,0.13,NORMAL
2026-09-05 08:14:51.659585,SPLICE_004,101.07,25.43,2.62,1.49,0.03,NORMAL
2026-09-05 08:14:53.659585,SPLICE_003,98.43,28.39,2.81,1.44,0.16,NORMAL
2026-09-05 08:14:55.659585,SPLICE_003,102.73,42.7,1.68,1.49,0.18,NORMAL
2026-09-05 08:14:57.659585,SPLICE_003,106.78,61.25,4.53,1.27,0.49,WARNING
2026-09-05 08:14:59.659585,SPLICE_001,101.24,36.09,2.23,1.54,0.0,NORMAL
2026-09-05 08:15:01.659585,SPLICE_002,100.59,26.43,3.87,1.52,0.13,NORMAL
2026-09-05 08:15:03.659585,SPLICE_002,101.47,25.23,1.25,1.44,0.15,NORMAL
2026-09-05 08:15:05.659585,SPLICE_004,101.93,32.06,2.82,1.59,0.02,NORMAL
2026-09-05 08:15:07.659585,SPLICE_005,97.26,26.14,2.88,1.49,0.13,NORMAL
2026-09-05 08:15:09.659585,SPLICE_003,106.04,66.63,6.47,1.67,0.28,WARNING
2026-09-05 08:15:11.659585,SPLICE_001,98.07,34.89,2.04,1.49,0.04,NORMAL
2026-09-05 08:15:13.659585,SPLICE_001,105.33,60.71,7.95,1.39,0.59,WARNING
2026-09-05 08:15:15.659585,SPLICE_004,99.1,33.89,3.05,1.48,0.06,NORMAL
2026-09-05 08:15:17.659585,SPLICE_002,116.07,72.54,15.69,1.26,0.83,CRITICAL
2026-09-05 08:15:19.659585,SPLICE_005,106.69,48.53,9.11,1.41,0.5,WARNING
2026-09-05 08:15:21.659585,SPLICE_003,102.17,35.27,0.62,1.45,0.16,NORMAL
2026-09-05 08:15:23.659585,SPLICE_004,100.61,31.29,2.02,1.54,0.1,NORMAL
2026-09-05 08:15:25.659585,SPLICE_004,101.14,35.68,2.95,1.53,0.18,NORMAL
2026-09-05 08:15:27.659585,SPLICE_002,97.69,22.5,2.17,1.46,0.01,NORMAL
2026-09-05 08:15:29.659585,SPLICE_005,104.63,20.66,2.69,1.42,0.01,NORMAL
2026-09-05 08:15:31.659585,SPLICE_005,98.21,28.33,3.56,1.51,0.04,NORMAL
2026-09-05 08:15:33.659585,SPLICE_005,98.54,31.08,2.05,1.47,0.11,NORMAL
2026-09-05 08:15:35.659585,SPLICE_002,121.82,93.29,15.06,1.27,0.73,CRITICAL
2026-09-05 08:15:37.659585,SPLICE_002,98.68,34.26,1.21,1.49,0.01,NORMAL
2026-09-05 08:15:39.659585,SPLICE_001,103.68,68.29,6.33,1.37,0.3,WARNING
2026-09-05 08:15:41.659585,SPLICE_001,103.53,32.02,0.74,1.55,0.19,NORMAL
2026-09-05 08:15:43.659585,SPLICE_002,107.13,68.21,4.35,1.58,0.3,WARNING
2026-09-05 08:15:45.659585,SPLICE_004,102.53,26.46,2.44,1.54,0.09,NORMAL
2026-09-05 08:15:47.659585,SPLICE_004,99.96,25.34,0.71,1.49,0.09,NORMAL
2026-09-05 08:15:49.659585,SPLICE_004,103.26,22.85,1.56,1.51,0.07,NORMAL
2026-09-05 08:15:51.659585,SPLICE_005,106.18,73.78,7.81,1.49,0.27,WARNING
2026-09-05 08:15:53.659585,SPLICE_001,100.4,27.0,2.07,1.48,0.19,NORMAL
2026-09-05 08:15:55.659585,SPLICE_001,96.21,36.4,1.38,1.61,0.11,NORMAL
2026-09-05 08:15:57.659585,SPLICE_005,105.54,59.71,7.56,1.34,0.23,WARNING
2026-09-05 08:15:59.659585,SPLICE_003,101.77,27.68,1.38,1.48,0.14,NORMAL
2026-09-05 08:16:01.659585,SPLICE_004,101.8,31.54,2.81,1.53,0.06,NORMAL
2026-09-05 08:16:03.659585,SPLICE_001,117.76,77.9,7.85,1.02,0.91,CRITICAL
2026-09-05 08:16:05.659585,SPLICE_003,117.74,82.98,14.13,1.36,0.9,CRITICAL
2026-09-05 08:16:07.659585,SPLICE_002,99.18,31.31,2.01,1.55,0.17,NORMAL
2026-09-05 08:16:09.659585,SPLICE_001,108.05,52.52,7.65,1.39,0.58,WARNING
2026-09-05 08:16:11.659585,SPLICE_003,111.74,63.52,3.42,1.36,0.33,WARNING
2026-09-05 08:16:13.659585,SPLICE_005,102.32,33.96,2.62,1.53,0.02,NORMAL
2026-09-05 08:16:15.659585,SPLICE_002,98.6,29.96,0.09,1.59,0.18,NORMAL
2026-09-05 08:16:17.659585,SPLICE_002,98.35,28.39,2.41,1.47,0.12,NORMAL
2026-09-05 08:16:19.659585,SPLICE_005,112.83,87.04,17.24,1.33,0.63,CRITICAL
2026-09-05 08:16:21.659585,SPLICE_005,97.1,22.96,1.28,1.49,0.16,NORMAL
2026-09-05 08:16:23.659585,SPLICE_001,95.93,37.85,1.7,1.5,0.09,NORMAL
2026-09-05 08:16:25.659585,SPLICE_003,106.97,48.38,8.04,1.55,0.58,WARNING
2026-09-05 08:16:27.659585,SPLICE_003,97.11,25.78,1.66,1.52,0.19,NORMAL
2026-09-05 08:16:29.659585,SPLICE_002,106.67,55.1,7.2,1.32,0.59,WARNING
2026-09-05 08:16:31.659585,SPLICE_001,104.55,32.03,1.57,1.59,0.13,NORMAL
2026-09-05 08:16:33.659585,SPLICE_004,108.62,56.47,11.38,1.32,0.31,WARNING
2026-09-05 08:16:35.659585,SPLICE_005,105.53,44.16,9.07,1.22,0.23,WARNING
2026-09-05 08:16:37.659585,SPLICE_002,100.68,39.38,2.95,1.47,0.14,NORMAL
2026-09-05 08:16:39.659585,SPLICE_005,101.48,37.38,2.7,1.49,0.17,NORMAL
2026-09-05 08:16:41.659585,SPLICE_005,109.54,51.25,3.57,1.54,0.59,WARNING
2026-09-05 08:16:43.659585,SPLICE_004,116.38,87.79,5.19,1.06,0.71,CRITICAL
2026-09-05 08:16:45.659585,SPLICE_005,106.02,55.38,6.1,1.46,0.38,WARNING
2026-09-05 08:16:47.659585,SPLICE_002,101.89,59.28,9.12,1.55,0.34,WARNING
2026-09-05 08:16:49.659585,SPLICE_004,116.66,77.52,21.2,1.22,0.81,CRITICAL
2026-09-05 08:16:51.659585,SPLICE_003,100.34,35.77,3.03,1.51,0.08,NORMAL
2026-09-05 08:16:53.659585,SPLICE_005,101.29,36.84,1.04,1.53,0.03,NORMAL
2026-09-05 08:16:55.659585,SPLICE_002,96.54,37.22,2.89,1.49,0.07,NORMAL
2026-09-05 08:16:57.659585,SPLICE_003,103.0,30.37,3.63,1.43,0.17,NORMAL
2026-09-05 08:16:59.659585,SPLICE_005,99.97,33.98,1.72,1.42,0.2,NORMAL
2026-09-05 08:17:01.659585,SPLICE_002,95.87,29.55,0.7,1.53,0.02,NORMAL
2026-09-05 08:17:03.659585,SPLICE_001,97.8,32.44,2.75,1.49,0.09,NORMAL
2026-09-05 08:17:05.659585,SPLICE_001,103.04,59.03,5.94,1.32,0.27,WARNING
2026-09-05 08:17:07.659585,SPLICE_001,97.13,29.04,2.06,1.39,0.14,NORMAL
2026-09-05 08:17:09.659585,SPLICE_003,98.6,31.07,1.89,1.49,0.16,NORMAL
2026-09-05 08:17:11.659585,SPLICE_002,98.53,32.9,1.45,1.44,0.1,NORMAL
2026-09-05 08:17:13.659585,SPLICE_005,96.97,36.83,3.64,1.49,0.01,NORMAL
2026-09-05 08:17:15.659585,SPLICE_002,108.55,47.1,7.06,1.5,0.41,WARNING
2026-09-05 08:17:17.659585,SPLICE_004,99.74,25.22,0.39,1.51,0.05,NORMAL
2026-09-05 08:17:19.659585,SPLICE_001,99.63,29.76,0.94,1.47,0.07,NORMAL
2026-09-05 08:17:21.659585,SPLICE_003,103.37,34.41,1.99,1.57,0.02,NORMAL
2026-09-05 08:17:23.659585,SPLICE_004,113.12,63.12,6.12,1.56,0.25,WARNING
2026-09-05 08:17:25.659585,SPLICE_001,98.25,23.09,2.93,1.6,0.07,NORMAL
2026-09-05 08:17:27.659585,SPLICE_001,100.06,30.64,1.64,1.49,0.03,NORMAL
2026-09-05 08:17:29.659585,SPLICE_003,104.05,51.1,5.82,1.31,0.27,WARNING
2026-09-05 08:17:31.659585,SPLICE_001,94.99,33.42,2.39,1.5,0.17,NORMAL
2026-09-05 08:17:33.659585,SPLICE_002,98.85,33.78,2.5,1.45,0.19,NORMAL
2026-09-05 08:17:35.659585,SPLICE_002,104.09,38.1,2.93,1.46,0.04,NORMAL
2026-09-05 08:17:37.659585,SPLICE_003,98.47,20.98,0.37,1.5,0.02,NORMAL
2026-09-05 08:17:39.659585,SPLICE_001,96.95,33.99,0.86,1.51,0.1,NORMAL
2026-09-05 08:17:41.659585,SPLICE_005,98.7,30.24,1.14,1.48,0.01,NORMAL
2026-09-05 08:17:43.659585,SPLICE_005,104.19,61.08,9.21,1.48,0.44,WARNING
2026-09-05 08:17:45.659585,SPLICE_001,102.64,77.03,17.31,1.17,0.93,CRITICAL
2026-09-05 08:17:47.659585,SPLICE_002,100.34,30.45,2.49,1.58,0.17,NORMAL
2026-09-05 08:17:49.659585,SPLICE_004,100.68,27.94,1.51,1.48,0.03,NORMAL
2026-09-05 08:17:51.659585,SPLICE_004,117.72,95.35,6.17,1.25,0.95,CRITICAL
2026-09-05 08:17:53.659585,SPLICE_002,102.4,27.96,0.04,1.45,0.09,NORMAL
2026-09-05 08:17:55.659585,SPLICE_004,102.1,25.78,0.42,1.5,0.18,NORMAL
2026-09-05 08:17:57.659585,SPLICE_004,101.66,18.94,2.24,1.54,0.02,NORMAL
2026-09-05 08:17:59.659585,SPLICE_005,100.33,32.84,1.13,1.48,0.16,NORMAL
2026-09-05 08:18:01.659585,SPLICE_004,101.27,41.35,2.18,1.51,0.03,NORMAL
2026-09-05 08:18:03.659585,SPLICE_003,97.82,25.91,3.51,1.52,0.18,NORMAL
2026-09-05 08:18:05.659585,SPLICE_001,102.08,27.45,1.73,1.45,0.16,NORMAL
2026-09-05 08:18:07.659585,SPLICE_005,99.15,27.24,2.96,1.55,0.13,NORMAL
2026-09-05 08:18:09.659585,SPLICE_003,100.83,39.38,1.23,1.44,0.04,NORMAL
2026-09-05 08:18:11.659585,SPLICE_005,100.34,34.18,1.11,1.38,0.19,NORMAL
2026-09-05 08:18:13.659585,SPLICE_005,100.56,24.37,4.45,1.51,0.0,NORMAL
2026-09-05 08:18:15.659585,SPLICE_005,103.56,32.95,2.22,1.52,0.03,NORMAL
2026-09-05 08:18:17.659585,SPLICE_002,103.76,36.73,3.59,1.47,0.19,NORMAL
2026-09-05 08:18:19.659585,SPLICE_001,99.82,33.91,4.54,1.53,0.08,NORMAL
2026-09-05 08:18:21.659585,SPLICE_002,99.68,27.87,0.99,1.42,0.11,NORMAL
2026-09-05 08:18:23.659585,SPLICE_005,99.54,33.14,3.27,1.46,0.09,NORMAL
2026-09-05 08:18:25.659585,SPLICE_005,99.48,22.48,1.75,1.49,0.1,NORMAL
2026-09-05 08:18:27.659585,SPLICE_001,101.61,29.21,3.08,1.41,0.13,NORMAL
2026-09-05 08:18:29.659585,SPLICE_005,99.46,24.47,4.57,1.5,0.01,NORMAL
2026-09-05 08:18:31.659585,SPLICE_003,111.09,91.74,14.54,1.22,0.68,CRITICAL
2026-09-05 08:18:33.659585,SPLICE_002,99.93,27.28,1.29,1.51,0.16,NORMAL
2026-09-05 08:18:35.659585,SPLICE_003,102.78,16.7,0.08,1.44,0.11,NORMAL
2026-09-05 08:18:37.659585,SPLICE_004,99.31,28.14,0.59,1.46,0.13,NORMAL
2026-09-05 08:18:39.659585,SPLICE_003,99.28,29.65,2.49,1.46,0.13,NORMAL
2026-09-05 08:18:41.659585,SPLICE_001,101.44,24.35,1.48,1.52,0.13,NORMAL
2026-09-05 08:18:43.659585,SPLICE_005,113.25,82.71,18.26,1.06,0.94,CRITICAL
2026-09-05 08:18:45.659585,SPLICE_001,99.28,35.8,0.92,1.53,0.06,NORMAL
2026-09-05 08:18:47.659585,SPLICE_002,96.66,38.82,0.76,1.46,0.08,NORMAL
2026-09-05 08:18:49.659585,SPLICE_002,107.22,91.06,9.88,1.46,0.82,CRITICAL
2026-09-05 08:18:51.659585,SPLICE_001,100.74,50.64,8.94,1.4,0.52,WARNING
2026-09-05 08:18:53.659585,SPLICE_003,99.27,29.72,2.31,1.41,0.13,NORMAL
2026-09-05 08:18:55.659585,SPLICE_004,104.13,51.65,4.42,1.41,0.31,WARNING
2026-09-05 08:18:57.659585,SPLICE_003,100.39,25.11,2.41,1.41,0.13,NORMAL
2026-09-05 08:18:59.659585,SPLICE_005,99.06,32.63,3.62,1.58,0.13,NORMAL
2026-09-05 08:19:01.659585,SPLICE_005,96.32,23.6,1.38,1.5,0.03,NORMAL
2026-09-05 08:19:03.659585,SPLICE_001,113.26,86.99,9.26,1.29,0.76,CRITICAL
2026-09-05 08:19:05.659585,SPLICE_002,98.15,23.24,1.02,1.55,0.11,NORMAL
2026-09-05 08:19:07.659585,SPLICE_001,112.24,52.56,7.19,1.42,0.29,WARNING
2026-09-05 08:19:09.659585,SPLICE_002,98.85,30.61,4.56,1.5,0.07,NORMAL
2026-09-05 08:19:11.659585,SPLICE_005,99.3,31.21,2.18,1.48,0.1,NORMAL
2026-09-05 08:19:13.659585,SPLICE_003,98.75,39.06,2.71,1.47,0.16,NORMAL
2026-09-05 08:19:15.659585,SPLICE_003,97.82,34.65,0.24,1.56,0.02,NORMAL
2026-09-05 08:19:17.659585,SPLICE_003,114.63,91.21,15.71,1.0,0.95,CRITICAL
2026-09-05 08:19:19.659585,SPLICE_001,101.63,33.09,3.29,1.55,0.17,NORMAL
2026-09-05 08:19:21.659585,SPLICE_004,105.79,41.71,7.86,1.42,0.27,WARNING
2026-09-05 08:19:23.659585,SPLICE_001,101.64,30.67,2.45,1.49,0.19,NORMAL
